claim,Label
"Hundreds of thousands died after taking the advice of these celebrities, who are aiding and abetting mass murder by advocating COVID19 vaccination.",0
"If I dont take the vaccine, Im at risk for covid. If I do take the vaccine, Im still at risk for covid PLUS Im at risk for permanent vaccine side effects. Therefore Im reducing my risk by not taking the vaccine. Thats the real science.",0
"CDC numbers show that among children, the Pfizer and Moderna COVID19 vaccines have a death rate 174 times higher than the COVID19 death rate.",0
Video suggests Dr. Anthony Fauci said vaccines dont protect against COVID19.,0
Says the COVID19 vaccine doesnt prevent catching or spreading the virus and only lasts months.,0
The AstraZeneca COVID19 vaccine contains a Bluetooth microchip.,0
Report Vaccine related deaths may rival recorded COVID19 deaths.,0
New data shows that death is proportional to dose for COVID19.,0
You will need a WHO Yellow Vaccination Passport if you plan on traveling internationally once borders open.,0
"Pathologists found a host of nonbiological components ... in the blood of vaccinated people, including graphene chips and nanochips.",0
"The Unvaccinated Beware, COVID19 mRNA Shots Cause Death and Disease Through GMO Shedding",0
Some of you are being injected with saline because it would look too suspicious if everybody died at the same time.,0
The COVID19 vaccine is dangerous because 23 people died in Norway within hours of receiving it.,0
Pfizer vaccine kills more people than it saves.,0
Japan drops vax rollout,0
"In the United Kingdom, 70plus percent of the people who die now from COVID are fully vaccinated.",0
The COVID19 vaccines were released to the public after only two months of testing in healthy humans.,0
The second booster has eight strains of HIV.,0
"Tennessee nurse Tiffany Dover received the PfizerBioNTech COVID19 vaccine, fainted, then died.",0
"A video posted on Facebook on Tuesday, May 25, claimed that people who received COVID19 jabs become magnetic. This can supposedly be detected by attaching magnets to ones upper arm after getting vaccinated.",0
"A graph from Vaccine Adverse Event Reporting System VAERS published on July 30 shows that 12,366 people died after receiving COVID19 jabs.",0
"A certain Vernon Coleman says, COVID19 vaccines are weapons of mass destruction and could end the human race.",0
The Beijing Vaccine Prevention Center released guidelines for the vaccination of Sinovacs vaccine.,0
"The COVID19 vaccines, specifically the ones that use mRNA, cause infertility.",0
"As of Sunday, February 28, the Philippines is the only country that China delivered COVID19 vaccines to via military plane.",0
Pfizer messenger RNA mRNA vaccines cause viral shedding.,0
Presidential Spokesperson Harry Roque said in a quote card that people who are pango flat nosed are the last to be vaccinated.,0
COVID19 vaccines are still experimental.,0
"Twentyfour people died in the municipality of Bayog, Zamboanga del Sur, on August 16 after vaccination.",0
A photo supposedly shows that COVID19 vaccine patients have started eating other patients.,0
" Vaccination schedules for Category A4 individuals in San Pedro City, Laguna, were canceled to give way to Vice President Leni Robredo's vaccination drive.",0
"Vaccinated people will die within two years, according to Nobel laureate and French virologist Luc Montagnier.",0
Vaccines against COVID19 are filled with toxic preservatives.,0
"Belgian author and speaker JeanJacques Crvecur showed a montage of people who supposedly died after being vaccinated against COVID19. The video featured personalities such as the late rapper DMX and late television host Larry King, and other public figures.",0
"COVID19 vaccines are an experiment, and instead of protecting people against the disease, the vaccines will kill those who receive it.",0
Vaccine czar Carlito Galvez Jr said the Sinovac vaccine is good enough for poor Filipinos despite its 50.4% efficacy rate.,0
"Vaccination programs run counter to impeding transmission rates because vaccines only prevent symptoms and do not actually block SARSCoV2, the virus that causes COVID19.",0
Pfizer and BioNTech cut their COVID19 vaccine deliveries to the EU on January 22 because their vaccine has caused seizures or death.,0
A video circulating on Facebook shows nanobots inside COVID19 vaccines. These nanobots can supposedly alter human DNA.,0
Moderna's mRNA COVID19 vaccine can alter human DNA.,0
"People who are vaccinated against COVID19 transmit spike proteins that their immune system is building due to the vaccines. Exposure to vaccinated people increases the risk of getting infected, developing blood clots, headaches, and flu symptoms.",0
Medical professionals should follow the Nuremberg Code in doing COVID19 mass vaccinations since it is a form of human experimentation.,0
"The United Kingdom and the United States are underreporting cases of COVID19 vaccine's adverse effects, reporting only 1% of the actual number.",0
The PfizerBioNTech COVID19 vaccine contains human immunodeficiency virus HIV particles.,0
COVID19 vaccines are not proven safe or effective.,0
"Member countries of the European Union have reported 1.5 million injuries and 15,472 deaths related to COVID19 vaccines.",0
Animal testing was skipped for the COVID19 vaccines being administered in the United States.,0
 The COVID19 vaccine is more dangerous than the disease it promises to fight.,0
COVID19 messenger RNA mRNA vaccines are not real vaccines against the novel coronavirus.,0
COVID19 vaccines can kill elderly people.,0
The Senate rejected a bill calling for mandatory vaccination against COVID19.,0
"Senate President Vicente Sotto III suggested that, because the Sinovac COVID19 vaccine had a 50.4% efficacy rate in a Brazillian trial, two doses of it would result in 100% efficacy.",0
The COVID19 pandemic is over and a vaccine for the disease is no longer needed.,0
The Makati Medical Center MMC released an advisory that said COVID19 vaccines weaken the immune system.,0
"COVID19 vaccine ready, released in Russia  Duterte",0
5 die in Tarlac due to COVID19 vaccine,0
Russian university completes clinical trials for world's first COVID19 vaccine,0
Bill Gates is developing COVID19 vaccines with microchips,0
Bill Gates admits COVID19 vaccine will permanently alter human DNA,0
"Facebook, YouTube take down Bolsonaro video over false vaccine claim. The video by Brazilian President Jair Bolsonaro falsely claims COVID19 vaccines were linked with developing AIDS",0
UN stockpiling 1 billion syringes for COVID19 vaccine,1
YouTube to remove COVID19 vaccine misinformation,1
FDA says 'best case scenario' of COVID19 vaccine in PH is April 2021,1
DepEd postpones facetoface classes until COVID19 vaccine is available,1
Richer countries may outbid poor neighbors desperate for COVID19 vaccines,1
"After Dutertes SONA 2020, China vows PH priority for COVID19 vaccine",1
COVID19 vaccine trial paused after unexplained illness,1
Volunteer in Oxford COVID19 vaccine test dies in Brazil  officials,1
Duterte Free COVID19 vaccine for Filipinos  Evening wRap,1
DOH needs P12.9B to purchase COVID19 vaccines,1
Sanofi says no favoritism when COVID19 vaccines become available,1
Pfizer says COVID19 vaccine still possible in 2020 despite data lag,1
Recto Vaccine czar Galvez will need help 'not just from military',1
JJ COVID19 vaccine trial moves into late stage,1
"Over 1,000 Filipinos in UAE join Chinese COVID19 vaccine trial",1
Recto urges Palace to name COVID19 vaccine czar,1
Preorders of COVID19 vaccine top 5 billion,1
Johnson  Johnson pauses COVID19 vaccine trial as participant becomes ill,1
China's Clover Biopharmaceuticals applies for COVID19 vaccine clinical trials in PH,1
Duterte vows to get injected in public with Russian COVID19 vaccine,1
PH eyes clinical trials for Russian COVID19 vaccine as safety concerns raised,1
PH joins COVID19 vaccine global access facility,1
UAE approves use of COVID19 vaccine for health workers,1
Moderna's COVID19 vaccine won't be ready by US election  report,1
Boost in COVID19 vaccine doses planned for poor as virus rages on,1
Moderna already has $1.1B in deposits for COVID19 vaccine,1
9 COVID19 vaccine developers pledge to uphold scientific integrity,1
Bill and Melinda Gatesbacked coronavirus vaccine enters human trial,1
China joins deal to get COVID19 vaccine to poorer nations,1
Duterte wants entire Philippine population given COVID19 vaccine for free,1
US states told be ready to distribute COVID19 vaccine by Nov 1,1
Ethics before profits Ending COVID19 entails global access to vaccines,1
WHO urges countries Dont just wait for COVID19 vaccine,1
DOH needs P10 billion more for COVID19 vaccine  Evening wRap,1
#StoryOfTheNation How do you feel about the COVID19 vaccine from Russia,1
PH eyes start of COVID19 vaccine trials by October 2020,1
House plans to increase P2.5billion budget for coronavirus vaccine,1
Over 60 wealthy nations join WHO's COVID19 vaccine plan,1
