web-scraper-order,link-href,claim,label
1637040507-87,https://www.rappler.com/nation/china-vows-philippines-priority-coronavirus-vaccine,"After Dutertes SONA 2020, China vows PH priority for COVID19 vaccine",1
,https://www.poynter.org/?ifcn_misinformation=oklahoma-police-planning-to-set-up-roadblocks-to-enforce-a-mandatory-covid-19-vaccination-law-and-slap-micro-chipped-bracelets-on-people, Oklahoma police planning to set up roadblocks to enforce a mandatory COVID19 vaccination law and slap microchipped bracelets on people.,0
,https://twitter.com/IndiaToday/status/1249344584649297920,"Race for covid vaccine When will vaccine be readyHere's what CEO of Serum Institute, Adar Poonawala  Chairman  MD of Bharat Biotech DR Krishna Ella has to say#Newstrack Live   httpbit.lyITLiveTV pic.twitter.comv3CywQ0V0m",1
,,Screenshots circulating on Twitter and Facebook say the Nigeria Centre for Disease Control spent N1 billion US$2.7 million on sending text messages to educate Nigerians about COVID19.,0
1643700113-968,https://www.snopes.com/fact-check/kerry-chant-death-children/,New South Wales Chief Health Officer Dr. Kerry Chant celebrated the COVID19 vaccine rollout in New South Wales saying that it only resulted in the death of three children.,0
,,A photo shows a COVID19 vaccine that can cure a patient in three hours.,0
,,"Harry Kissinger quoted as saying Once the herd accepts mandatory forcible vaccination, its game over.",0
,,"When the COVID19 vaccine is introduced, microchips will also be introduced into the human body, then 5G networks will come into play, through which the worlds elite will send various signals to nanochips that have settled in human organisms. They will want to send such a signal that only the a Golden billion will remain on Earth.",0
,https://doh.gov.ph/Vaccines/Am-I-eligible-to-get-the-COVID-19-vaccine?fbclid=IwAR3VVKq3UOLAUuX5WG4qhnyf-sc-vzC8-8DWdX8dV-L3rosT7xuZFEclYsU,Women in the first 3 months of pregnancy are eligible to take the COVID19 vaccine but will be subject for rescheduling.,1
,,"Coronavirus patients were being arrested in Punjab, India.",0
,,Parents Help your college student get fully vaccinated against #COVID19 before they return to campus. Vaccines are the best way to keep college students from getting and spreading the virus that causes COVID19. More httpsbit.ly365ZZ62,1
,,A study found an 82% miscarriage rate among women between 30 days and 20 weeks pregnant who got an mRNA COVID19 vaccine.,0
,,Another prediction by the Simpsons  children are to lose their hearing after vaccination.,0
1642745758-841,https://www.rappler.com/nation/western-visayas-covid-19-vaccination-blitz/,"Western Visayas vax blitz churns out 600,000 jabs. Negros Occidental tops number of jabs administered with 213,291. The Western Visayas total represents 74.88% of the target for the 3day inoculation drive.",1
,,Influenza and coronavirus vaccines are more likely to cause upper respiratory tract infections. All COVID19 tests shows positive result.,0
,https://www.poynter.org/?ifcn_misinformation=roche-has-developed-a-covid-19-vaccine, Roche has developed a COVID19 vaccine.,0
,,Five JetBlue pilots died from the COVID19 vaccine.,0
,,Those who are vaccinated need to use blood thinners,0
,https://www.poynter.org/?ifcn_misinformation=a-whatsapp-message-which-claims-that-the-italian-government-sent-nas-a-branch-of-the-carabinieri-to-close-the-department-in-charge-of-plamsa-related-therapies-at-mantua-hospital-where-they-cure," A Whatsapp message which claims that the Italian government sent Nas a branch of the Carabinieri to close the department in charge of plamsarelated therapies at Mantua hospital, where they cure COVID19 in 48 hours. The government would have done that in order to obtain Bill Gates' vaccine.",0
,,Bill Gates personally will profit from a COVID19 vaccine and he owns a company that plans to implant microchips in everyone.,0
,,Bill Gates faces trial in India for illegally testing vaccines.,0
,,"#COVID19 cases, hospitalizations, and deaths are going up, especially in areas with low vaccination rates. Vaccines help protect people from getting COVID19 or from getting severely ill from it. Read more about the state of the pandemic httpbit.lyCDTweeklyreview.",1
,,A photo shows a 19yearold vaccine for canine coronavirus that could be used to prevent the new coronavirus causing COVID19.,0
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines-and-people-living-with-hiv?fbclid=IwAR0eoocY4WKlHATa3RkcrnL9nN-jcs5M7kCsXxr4PsiJgXFy0apHSFQDnXs,"Many of the most advanced vaccines have included a small number of people living with HIV. Despite limited data, available information suggests COVID19 vaccines for which WHO has issued recommendations, are safe for people living with HIV.",1
,,This video was shot in a mall in Germany during the coronavirus pandemic.,0
1642736170-175,https://www.rappler.com/newsbreak/fact-check/san-pedro-city-laguna-lgu-canceled-vaccinations-accommodate-office-vice-president/,The Facts The San Pedro local government unit LGU had announced that vaccine supply allocated for Category A4 individuals were out of stock. Vaccinations for individuals in other categories were carried out.,1
1637040504-86,https://www.rappler.com/nation/robredo-hits-duterte-sona-2020-do-not-just-wait-covid-19-vaccine,Robredo hits Duterte SONA Don't just wait for COVID19 vaccine,1
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J23,"Even if you have already had COVID19, you should be vaccinated. The protection that someone gains from having COVID19 will vary greatly from person to person.",1
,,Accumulating evidence shows no increased risk of miscarriage after #COVID19 vaccination during early pregnancy. New JAMAcurrent findings can inform discussions about COVID19 vaccination during pregnancy between pregnant ppl  their healthcare providers. psbit.ly2VFykY6,1
,https://drive.google.com/drive/u/1/folders/1B0zKhU3_8BmZFL5IwrzmEiY5dRp73ppH?fbclid=IwAR0iJSYqFzYulnHoKbRsOx1aj3zlX4SIL_yOYBt-M2iOcU2t71OMLr0VVUw,Getting 1 dose of the vaccine is enough. The 2nd dose is not needed.,0
,,The administration of the Sinovac vaccine has been completely suspended.,0
